nr,lab,github,name,colab,link
1,lab-assistants-api,code,assistant-files.ipynb,https://colab.research.google.com/github/kirenz/lab-assistants-api/blob/main/code/assistant-files.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-assistants-api/blob/main/code/assistant-files.ipynb )
2,lab-assistants-api,code,assistant-intro.ipynb,https://colab.research.google.com/github/kirenz/lab-assistants-api/blob/main/code/assistant-intro.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-assistants-api/blob/main/code/assistant-intro.ipynb )
